title,en,body
Steve Marshall,en,"Alabama

Attorney General

http://www.ago.alabama.gov

https://www.google.com/search?q=steve+marshall+alabama+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Steve_Marshall_(politician)"
Jahna Lindemuth,en,"Alaska

http://www.law.state.ak.us/index.html

https://www.google.com/search?q=jahna+lindemuth+alaska+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Jahna_Lindemuth"
Talauega Eleasalo V. Ale,en,"American Samoa

Attorney General

http://www.naag.org/naag/attorneys-general/whos-my-ag/american-samoa/talauega-eleasalo-v.-ale.php

https://www.google.com/search?q=Talauega+Eleasalo+V.+Ale+American+Samoa+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Talauega+Eleasalo+V.+Ale"
Mark Brnovich,en,"Arizona

Attorney General

https://www.azag.gov/profile/mark-brnovich

https://www.google.com/search?q=Mark+Brnovich+Arizona+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Mark_Brnovich"
Leslie Rutledge,en,"Arkansas

Attorney General

https://arkansasag.gov

https://www.google.com/search?q=Leslie+Rutledge+arkansas+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Leslie_Rutledge"
Xavier Becerra,en,"California

Attorney General

https://oag.ca.gov

https://www.google.com/search?q=Xavier+Becerra+California+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Xavier_Becerra"
Cynthia H. Coffman,en,"Colorado

Attorney General

https://coag.gov

https://www.google.com/search?&q=Cynthia+H.+Coffman+Colorado+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Cynthia_Coffman_(politician)"
George Jepsen,en,"Connecticut

Attorney General

http://www.ct.gov/ag/site/default.asp

https://en.wikipedia.org/wiki/George_Jepsen

https://www.google.com/search?q=George+Jepsen+Connecticut+attorney+general&tbm=nws"
Matthew Denn,en,"Delaware

Attorney General

http://attorneygeneral.delaware.gov/

https://www.google.com/search?q=Matthew+Denn+Delaware+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Matthew_Denn"
Karl A. Racine,en,"District of Columbia

Attorney General

https://oag.dc.gov

https://www.google.com/search?q=Karl+A.+Racine+District+of+Columbia+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Karl_Racine"
Pam Bondi,en,"Florida

Attorney General

http://myfloridalegal.com

https://www.google.com/search?q=Pam+Bondi+Florida+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Pam_Bondi"
Chris Carr,en,"Georgia

Attorney General

https://law.georgia.gov/

https://www.google.com/search?q=Chris+Carr+Georgia+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Christopher_M._Carr"
Elizabeth Barrett-Anderson,en,"Guam

Attorney General

http://www.guamag.org/index.html

https://www.google.com/search?q=Elizabeth+Barrett-Anderson+Guam+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Elizabeth_Barrett-Anderson"
Douglas S. Chin,en,"Hawaii

Attorney General

http://ag.hawaii.gov

https://www.google.com/?q=Douglas+S.+Chin+Hawaii+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Doug_Chin"
Lawrence Wasden,en,"Idaho

Attorney General

http://www.ag.idaho.gov/index.html

https://www.google.com/search?q=Lawrence+Wasden+Idaho+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Lawrence_Wasden"
Lisa Madigan,en,"Illinois

Attorney General

http://www.illinoisattorneygeneral.gov/

https://www.google.com/search?q=Lisa+Madigan+Illinois+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Lisa_Madigan"
Curtis T. Hill Jr.,en,"Indiana

Attorney General

http://www.curtishillforindiana.com/

https://www.google.com/search?q=Curtis+T.+Hill+Jr.+Indiana+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Curtis_Hill"
Tom Miller,en,"Iowa

Attorney General

https://www.iowaattorneygeneral.gov/

https://www.google.com/search?q=Tom+Miller+Iowa+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Tom_Miller_(politician)"
Derek Schmidt,en,"Kansas

Attorney General

http://ag.ks.gov/home

https://www.google.com/search?q=Derek+Schmidt+Kansas+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Derek_Schmidt"
Andy Beshear,en,"Kentucky

Attorney General

http://ag.ky.gov/Pages/default.aspx

https://www.google.com/search?q=Andy+Beshear+Kentucky+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Andy_Beshear"
Jeff Landry,en,"Louisiana

Attorney General

https://www.ag.state.la.us/

https://www.google.com/search?q=Jeff+Landry+Louisiana+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Jeff_Landry

https://twitter.com/AGJeffLandry"
Janet T. Mills,en,"Maine

Attorney General

https://www.maine.gov/ag/

https://www.google.com/search?q=Janet+T.+Mills+Maine+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Janet_T._Mills"
Brian Frosh,en,"Maryland

Attorney General

http://www.marylandattorneygeneral.gov

https://www.google.com/search?q=Brian+Frosh+Maryland+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Brian_Frosh"
Maura Healey,en,"Massachusetts

Attorney General

http://www.maurahealey.com

https://www.google.com/search?q=Maura+Healey+Massachusetts+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Maura_Healey

https://twitter.com/maura_healey"
Bill Schuette,en,"Michigan

Attorney General

http://www.michigan.gov/ag/

https://www.google.com/search?q=Bill+Schuette+Michigan+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Bill_Schuette"
Lori Swanson,en,"Minnesota

Attorney General

https://www.ag.state.mn.us/Office/AGBio.asp

https://www.google.com/search?q=lori+swanson+minnesota+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Lori_Swanson"
Jim Hood,en,"Mississippi

Attorney General

http://www.ago.state.ms.us

https://www.google.com/search?q=jim+hood+mississippi+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Jim_Hood"
Tim Fox,en,"Montana

Attorney General

https://dojmt.gov/

https://www.google.com/search?q=Tim+Fox+Montana+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Tim_Fox_(politician)"
Doug Peterson,en,"Nebraska

Attorney General

https://ago.nebraska.gov

https://www.google.com/search?q=Doug+Peterson+Nebraska+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Doug_Peterson_(politician)"
Adam Paul Laxalt,en,"Nevada

Attorney General

http://ag.nv.gov/

https://en.wikipedia.org/wiki/Adam_Laxalt

https://www.google.com/search?q=Adam+Paul+Laxalt+Nevada+attorney+general&tbm=nws"
Gordon MacDonald,en,"New Hampshire

Attorney General

https://www.doj.nh.gov

https://www.google.com/search?q=Gordon+MacDonald+New+Hampshire+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Gordon_MacDonald"
Christopher S. Porrino,en,"New Jersey

Attorney General

http://www.nj.gov/oag/

https://www.google.com/search?q=Christopher+S.+Porrino+New+Jersey+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Christopher_Porrino"
Hector Balderas,en,"New Mexico

Attorney General

http://www.nmag.gov

https://www.google.com/search?q=Hector+Balderas+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Hector_Balderas"
Eric Schneiderman,en,"New York

Attorney General

https://ag.ny.gov

https://www.google.com/search?q=Eric+Schneiderman+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Eric_Schneiderman"
Josh Stein,en,"North Carolina

Attorney General

http://www.ncdoj.gov/About-DOJ/The-Attorney-General.aspx

https://www.google.com/search?q=Josh+Stein+North+Carolina+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Josh_Stein"
Wayne Stenehjem,en,"North Dakota

Attorney General

https://attorneygeneral.nd.gov/

https://www.google.com/search?q=Wayne+Stenehjem+North+Dakota+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Wayne_Stenehjem"
Edward Manibusan,en,"Northern Mariana Islands

Attorney General

http://www.naag.org/naag/attorneys-general/whos-my-ag/northern_mariana_islands/edward-manibusan.php

https://www.google.com/search?q=Edward+Manibusan+Northern+Mariana+Islands+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Edward_Manibusan"
Mike DeWine,en,"Ohio

http://www.ohioattorneygeneral.gov

https://www.google.com/search?q=Mike+DeWine+Ohio+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Mike_DeWine"
Mike Hunter,en,"Oklahoma

Attorney General

https://www.ok.gov/oag/

https://www.google.com/search?q=Mike+Hunter+Oklahoma+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Michael_J._Hunter"
Ellen F. Rosenblum,en,"Oregon

Attorney General

http://www.doj.state.or.us/pages/index.aspx

https://www.google.com/search?q=Ellen+F.+Rosenblum+Oregon+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Ellen_Rosenblum"
Josh Shapiro,en,"Pennsylvania

Attorney General

https://www.attorneygeneral.gov

https://www.google.com/search?q=Josh+Shapiro+Pennsylvania+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Josh_Shapiro

https://twitter.com/JoshShapiroPA

https://www.facebook.com/JoshShapiroPA"
Wanda VÃzquez Garced,en,"Puerto Rico

Attorney General

http://www.justicia.gobierno.pr

https://www.google.com/search?q=Wanda+VÃ zquez+Garced+Puerto+Rico+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Secretary_of_Justice_of_Puerto_Rico"
Peter Kilmartin,en,"Rhode Island

Attorney General

http://www.riag.ri.gov

https://www.google.com/search?q=Peter+Kilmartin+Rhode+Island+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Peter_Kilmartin"
Alan Wilson,en,"South Carolina

Attorney General

http://www.scag.gov

https://www.google.com/search?q=Alan+Wilson+South+Carolina+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Alan_Wilson_(South_Carolina_politician

https://twitter.com/AGAlanWilson"
Marty J. Jackley,en,"South Dakota

Attorney General

http://atg.sd.gov

https://www.google.com/search?q=Marty+J.+Jackley+South+Dakota+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Marty_Jackley"
Herbert H. Slatery,en,"Tennessee

Attorney General

https://www.tn.gov/attorneygeneral

https://www.google.com/search?q=Herbert+H.+Slatery+Tennessee+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Herbert_Slatery"
Ken Paxton,en,"Texas

https://www.texasattorneygeneral.gov

https://www.google.com/search?q=Ken+Paxton+Texas+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Ken_Paxton"
Sean Reyes,en,"Utah

Attorney General

https://attorneygeneral.utah.gov

https://www.google.com/search?q=Sean+Reyes+Utah+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Sean_Reyes"
TJ Donovan,en,"Vermont

Attorney General

http://www.atg.state.vt.us/

https://www.google.com/search?q=TJ+Donovan+Vermont+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/T._J._Donovan"
Claude E. Walker,en,"Virgin Islands

Attorney General

https://www.google.com/search?q=Claude+E.+Walker+Virgin+Islands+attorney+general&tbm=nws

http://usvidoj.codemeta.com/DivisionContent_1.php?divId=84"
Mark Herring,en,"Virginia

http://www.oag.state.va.us

https://www.google.com/search?q=Mark+Herring+Virginia+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Mark_Herring"
Bob Ferguson,en,"Washington

Attorney General

http://www.atg.wa.gov/

https://www.google.com/search?q=Bob+Ferguson+Washington+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Bob_Ferguson_(politician)"
Patrick Morrisey,en,"West Virginia

Attorney General

http://www.ago.wv.gov/Pages/default.aspx

https://www.google.com/search?q=Patrick+Morrisey+West+Virginia+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Patrick_Morrisey"
Brad Schimel,en,"Wisconsin

Attorney General

https://www.doj.state.wi.us

https://www.google.com/search?q=Brad+Schimel+Wisconsin+attorney+general&tbm=nws

https://en.wikipedia.org/wiki/Brad_Schimel"
Peter K. Michael,en,"Wyoming

Attorney General

https://en.wikipedia.org/wiki/Peter_K._Michael

http://ag.wyo.gov

https://www.google.com/search?q=Peter+K.+Michael+wyoming+attorney+general&tbm=nws"