title,langcode,field_role
Gary Pasqua,en,district_attorney
Craig Carriero,en,district_attorney
Andrew J. Wylie,en,district_attorney
Kristy L. Sprague,en,district_attorney
Jason Carusone,en,district_attorney
Marsha King Purdue,en,district_attorney
Tony Jordan,en,district_attorney
Karen Heggen,en,district_attorney
Joel Abelove,en,district_attorney
Kristyna Mills,en,district_attorney
Leanne K. Moser,en,district_attorney
Jeffrey Carpenter,en,district_attorney
Chad Brown,en,district_attorney
Kelli P. McCoski,en,district_attorney
Robert M. Carney,en,district_attorney
David Soares,en,district_attorney
Paul Czajka,en,district_attorney
William V. Grady,en,district_attorney
Robert V. Tendy,en,district_attorney
Gregory Oakes,en,district_attorney
Scott D. McNamara,en,district_attorney
Patrick Swanson,en,district_attorney
William J. Fitzpatrick,en,district_attorney
William G. Gabor,en,district_attorney
John M. Muehl,en,district_attorney
Susan Mallery,en,district_attorney
Joseph Stanzione,en,district_attorney
John Hubbard,en,district_attorney
D. Holley Carnright,en,district_attorney
James Farrell,en,district_attorney
David Hoovler,en,district_attorney
Thomas P. Zugibe,en,district_attorney
Anthony Scarpino,en,district_attorney
Timothy Sini,en,district_attorney
Madeline Singas,en,district_attorney
Richard A. Brown,en,district_attorney
Darcel D. Clark,en,district_attorney
Eric Gonzalez,en,district_attorney
"Cyrus R. Vance, Jr.",en,district_attorney
Michael McMahon,en,district_attorney
Joseph A. McBride,en,district_attorney
Stephen Cornwell,en,district_attorney
Patrick Perfetti,en,district_attorney
Jon E. Budelmann,en,district_attorney
Kirk Martin,en,district_attorney
Matthew Van Houten,en,district_attorney
Weeden A. Wetmore,en,district_attorney
Michael Calarco,en,district_attorney
Barry Porsch,en,district_attorney
Joseph Fazzary,en,district_attorney
Brooks Baker,en,district_attorney
Todd Casella,en,district_attorney
James Ritts,en,district_attorney
Sandra Doorley,en,district_attorney
Gregory J. McCaffrey,en,district_attorney
Keith Slep,en,district_attorney
Donald O'Geen,en,district_attorney
Lawrence Friedman,en,district_attorney
Lori Rieman,en,district_attorney
John J. Flynn,en,district_attorney
Joseph V. Cardone,en,district_attorney
Caroline Wojtaszek,en,district_attorney